City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Gambier,AU,2022-40-04/08/22 22:40:21,-37.8333,140.7667,58.91,88,100,5.75
1,Mataura,NZ,2022-40-04/08/22 22:40:21,-46.1927,168.8643,56.66,60,66,6.42
2,Bubaque,GW,2022-40-04/08/22 22:40:22,11.2833,-15.8333,76.64,79,12,14.41
3,Ferme-Neuve,CA,2022-40-04/08/22 22:40:22,46.7001,-75.4493,35.56,100,100,3.04
4,Le Port,RE,2022-40-04/08/22 22:40:22,-20.9373,55.2919,78.76,70,56,3.56
5,Vuktyl,RU,2022-40-04/08/22 22:40:23,63.8567,57.3094,13.3,96,72,2.86
6,Khatanga,RU,2022-40-04/08/22 22:40:23,71.9667,102.5,-6.63,100,59,3.76
7,Umm Lajj,SA,2022-40-04/08/22 22:40:23,25.0213,37.2685,85.95,23,1,8.23
8,Alekseyevsk,RU,2022-40-04/08/22 22:40:24,57.8406,108.3492,24.53,96,92,1.81
9,Cam Ranh,VN,2022-40-04/08/22 22:40:24,11.9214,109.1591,71.56,83,20,2.3
10,Bengkulu,ID,2022-40-04/08/22 22:40:25,-3.8004,102.2655,73.69,89,69,3.56
11,Pevek,RU,2022-40-04/08/22 22:40:25,69.7008,170.3133,-12.17,94,100,5.95
12,Shihezi,CN,2022-40-04/08/22 22:40:25,44.3,86.0333,59.32,41,100,8.41
13,Qaanaaq,GL,2022-40-04/08/22 22:40:26,77.484,-69.3632,-3.71,70,0,6.73
14,Gweta,BW,2022-40-04/08/22 22:40:26,-20.1833,25.2333,68.34,76,42,13.31
15,Ushuaia,AR,2022-40-04/08/22 22:40:26,-54.8,-68.3,40.66,81,0,3.44
16,Sinop,TR,2022-40-04/08/22 22:40:27,41.7711,34.8709,45.43,81,5,8.25
17,Hermanus,ZA,2022-40-04/08/22 22:40:27,-34.4187,19.2345,59.81,75,4,21.09
18,Gilgit,PK,2022-40-04/08/22 22:40:28,35.9221,74.3087,62.55,46,92,1.88
19,Axim,GH,2022-40-04/08/22 22:40:28,4.8699,-2.2405,81.72,84,100,10.65
20,Dali,CN,2022-40-04/08/22 22:40:28,25.7,100.1833,52.27,86,8,3.96
21,Rikitea,PF,2022-39-04/08/22 22:39:29,-23.1203,-134.9692,79.12,73,18,15.99
22,Qandala,SO,2022-40-04/08/22 22:40:29,11.472,49.8728,81.57,65,100,1.59
23,Bathsheba,BB,2022-40-04/08/22 22:40:29,13.2167,-59.5167,79.41,73,40,13.8
24,Palu,ID,2022-40-04/08/22 22:40:30,-0.8917,119.8707,75.51,88,100,2.42
25,Kaitangata,NZ,2022-40-04/08/22 22:40:30,-46.2817,169.8464,58.55,60,13,11.32
26,Alice Springs,AU,2022-40-04/08/22 22:40:30,-23.7,133.8833,69.22,32,0,4.61
27,Tiksi,RU,2022-40-04/08/22 22:40:31,71.6872,128.8694,-7.53,100,100,4.54
28,Oranjemund,NA,2022-40-04/08/22 22:40:31,-28.55,16.4333,62.26,68,0,3.27
29,Flinders,AU,2022-40-04/08/22 22:40:31,-34.5833,150.8552,68.38,89,75,5.99
30,Provideniya,RU,2022-40-04/08/22 22:40:32,64.3833,-173.3,5.07,83,43,7.74
31,Guerrero Negro,MX,2022-40-04/08/22 22:40:32,27.9769,-114.0611,83.73,22,44,13.0
32,Castro,BR,2022-35-04/08/22 22:35:48,-24.7911,-50.0119,65.52,92,100,3.67
33,Masvingo,ZW,2022-40-04/08/22 22:40:33,-20.0637,30.8277,62.49,93,100,11.86
34,Adre,TD,2022-40-04/08/22 22:40:34,13.4667,22.2,80.44,9,4,7.94
35,Albany,US,2022-37-04/08/22 22:37:52,42.6001,-73.9662,54.18,62,77,4.25
36,Hobart,AU,2022-40-04/08/22 22:40:34,-42.8794,147.3294,62.28,83,0,9.22
37,Cape Town,ZA,2022-40-04/08/22 22:40:35,-33.9258,18.4232,61.27,65,0,11.01
38,Townsville,AU,2022-39-04/08/22 22:39:11,-19.25,146.8,81.48,69,40,6.91
39,Gamba,GA,2022-40-04/08/22 22:40:35,-2.65,10.0,77.11,93,90,3.69
40,Topeka,US,2022-40-04/08/22 22:40:36,39.0483,-95.678,55.89,30,0,21.85
41,Punta Arenas,CL,2022-40-04/08/22 22:40:36,-53.15,-70.9167,42.91,81,0,13.8
42,Vaini,TO,2022-40-04/08/22 22:40:36,-21.2,-175.2,86.16,79,75,5.75
43,New Norfolk,AU,2022-40-04/08/22 22:40:37,-42.7826,147.0587,61.92,56,1,3.98
44,Kysyl-Syr,RU,2022-40-04/08/22 22:40:37,63.8986,122.7617,18.64,96,98,4.32
45,Mahon,ES,2022-40-04/08/22 22:40:37,39.8885,4.2658,57.76,88,0,11.5
46,Dikson,RU,2022-41-04/08/22 22:41:38,73.5069,80.5464,-1.25,100,98,7.76
47,Prince Rupert,CA,2022-38-04/08/22 22:38:05,54.3161,-130.3201,44.69,76,75,20.71
48,Les Cayes,HT,2022-41-04/08/22 22:41:38,18.2,-73.75,78.22,76,23,6.02
49,Uglegorsk,RU,2022-41-04/08/22 22:41:39,49.0833,142.0333,35.35,75,98,5.57
50,Port Elizabeth,ZA,2022-41-04/08/22 22:41:39,-33.918,25.5701,60.1,91,100,11.5
51,Brigantine,US,2022-41-04/08/22 22:41:40,39.4101,-74.3646,58.03,62,20,12.66
52,Puerto Ayora,EC,2022-41-04/08/22 22:41:40,-0.7393,-90.3518,82.36,79,67,7.61
53,Upernavik,GL,2022-41-04/08/22 22:41:41,72.7868,-56.1549,8.76,96,100,4.32
54,Busselton,AU,2022-41-04/08/22 22:41:41,-33.65,115.3333,56.41,76,53,9.51
55,Bonfim,BR,2022-41-04/08/22 22:41:41,3.0833,-59.95,78.26,75,74,8.12
56,Taixing,CN,2022-41-04/08/22 22:41:42,32.1667,120.0136,60.75,76,0,7.25
57,Mar Del Plata,AR,2022-41-04/08/22 22:41:42,-38.0023,-57.5575,65.08,92,0,4.0
58,Caravelas,BR,2022-41-04/08/22 22:41:43,-17.7125,-39.2481,76.98,82,2,5.44
59,Codrington,AU,2022-41-04/08/22 22:41:43,-38.2667,141.9667,67.42,69,10,11.1
60,Belmonte,BR,2022-41-04/08/22 22:41:43,-15.8631,-38.8828,78.24,77,0,4.88
61,Madimba,TZ,2022-41-04/08/22 22:41:44,-10.4,40.3333,76.24,88,2,5.01
62,Mashhad,IR,2022-41-04/08/22 22:41:44,36.297,59.6062,59.14,55,82,0.0
63,Bluff,NZ,2022-41-04/08/22 22:41:44,-46.6,168.3333,56.95,70,81,18.32
64,Chuy,UY,2022-41-04/08/22 22:41:45,-33.6971,-53.4616,64.69,92,6,6.24
65,Taltal,CL,2022-41-04/08/22 22:41:45,-25.4,-70.4833,65.53,73,23,6.82
66,Thompson,CA,2022-41-04/08/22 22:41:45,55.7435,-97.8558,44.76,26,40,8.05
67,Matara,LK,2022-41-04/08/22 22:41:46,5.9485,80.5353,76.66,88,98,6.24
68,Bereznik,RU,2022-41-04/08/22 22:41:46,62.8551,42.7072,35.46,98,100,10.94
69,Mulchen,CL,2022-41-04/08/22 22:41:46,-37.7167,-72.2333,71.46,58,52,3.44
70,Ilebo,CD,2022-41-04/08/22 22:41:47,-4.3167,20.5833,70.72,99,97,4.41
71,Nanortalik,GL,2022-41-04/08/22 22:41:47,60.1432,-45.2371,27.73,88,40,7.94
72,Hervey Bay,AU,2022-39-04/08/22 22:39:05,-25.2986,152.8535,73.02,96,82,8.99
73,Vila Velha,BR,2022-41-04/08/22 22:41:47,-20.3297,-40.2925,80.55,76,75,5.75
74,Sao Gabriel Da Cachoeira,BR,2022-41-04/08/22 22:41:48,-0.1303,-67.0892,75.04,95,97,1.74
75,Mananjary,MG,2022-41-04/08/22 22:41:48,-21.2167,48.3333,75.34,76,51,3.36
76,Faanui,PF,2022-41-04/08/22 22:41:48,-16.4833,-151.75,81.97,74,100,17.54
77,Saskylakh,RU,2022-41-04/08/22 22:41:49,71.9167,114.0833,-10.01,100,100,3.4
78,Saint-Philippe,RE,2022-41-04/08/22 22:41:49,-21.3585,55.7679,76.59,86,72,11.39
79,Magadan,RU,2022-41-04/08/22 22:41:49,59.5667,150.8,22.53,87,82,2.04
80,Port Alfred,ZA,2022-37-04/08/22 22:37:39,-33.5906,26.891,57.18,93,99,10.09
81,Esperance,AU,2022-41-04/08/22 22:41:50,-33.8667,121.9,60.64,73,98,25.81
82,Urumqi,CN,2022-41-04/08/22 22:41:50,43.801,87.6005,56.35,55,0,8.95
83,Leshukonskoye,RU,2022-41-04/08/22 22:41:51,64.8989,45.7622,34.52,91,100,11.05
84,Kapaa,US,2022-41-04/08/22 22:41:51,22.0752,-159.319,80.58,75,40,19.57
85,Kibala,TD,2022-41-04/08/22 22:41:51,9.1104,18.3463,82.35,61,0,0.0
86,Alor Gajah,MY,2022-41-04/08/22 22:41:52,2.3804,102.2089,75.02,94,40,3.44
87,Casablanca,MA,2022-41-04/08/22 22:41:52,33.5928,-7.6192,59.22,87,73,9.01
88,San Andres,CO,2022-41-04/08/22 22:41:53,12.5847,-81.7006,84.22,70,40,14.97
89,Chokurdakh,RU,2022-41-04/08/22 22:41:53,70.6333,147.9167,-13.45,94,59,9.26
90,Butaritari,KI,2022-41-04/08/22 22:41:53,3.0707,172.7902,80.62,81,100,12.82
91,Hilo,US,2022-38-04/08/22 22:38:43,19.7297,-155.09,73.26,78,100,5.75
92,San Patricio,US,2022-41-04/08/22 22:41:54,28.017,-97.5169,82.54,17,0,4.94
93,Cayenne,GF,2022-42-04/08/22 22:42:54,4.9333,-52.3333,82.09,1,75,8.05
94,Hay River,CA,2022-42-04/08/22 22:42:54,60.8156,-115.7999,33.78,93,100,11.5
95,Gari,RU,2022-42-04/08/22 22:42:55,59.4307,62.3497,26.19,96,90,3.38
96,Talnakh,RU,2022-42-04/08/22 22:42:55,69.4865,88.3972,-0.8,98,100,4.03
97,Wanning,CN,2022-42-04/08/22 22:42:56,18.8003,110.3967,65.55,82,81,5.99
98,Cabo San Lucas,MX,2022-38-04/08/22 22:38:08,22.8909,-109.9124,88.61,39,20,9.22
99,Ust-Tsilma,RU,2022-42-04/08/22 22:42:56,65.441,52.1498,15.28,95,17,5.84
100,Bredasdorp,ZA,2022-42-04/08/22 22:42:56,-34.5322,20.0403,58.93,70,36,15.46
101,Richards Bay,ZA,2022-42-04/08/22 22:42:57,-28.783,32.0377,64.74,90,100,2.15
102,Lebu,CL,2022-42-04/08/22 22:42:57,-37.6167,-73.65,55.15,84,34,8.7
103,Severomorsk,RU,2022-42-04/08/22 22:42:57,69.0689,33.4162,30.6,90,100,24.23
104,Bambous Virieux,MU,2022-42-04/08/22 22:42:58,-20.3428,57.7575,75.45,94,75,6.91
105,Ilulissat,GL,2022-42-04/08/22 22:42:58,69.2167,-51.1,15.82,79,75,0.0
106,Andradina,BR,2022-42-04/08/22 22:42:59,-20.8961,-51.3794,78.26,66,64,3.15
107,Portland,US,2022-39-04/08/22 22:39:07,45.5234,-122.6762,55.45,69,75,23.02
108,Rochegda,RU,2022-42-04/08/22 22:42:59,62.8,43.25,35.17,98,100,10.89
109,East London,ZA,2022-38-04/08/22 22:38:51,-33.0153,27.9116,62.24,78,100,7.81
110,Manicore,BR,2022-43-04/08/22 22:43:00,-5.8092,-61.3003,75.83,96,91,2.42
111,Bosaso,SO,2022-43-04/08/22 22:43:00,11.2842,49.1816,80.35,69,88,2.42
112,Teknaf,BD,2022-43-04/08/22 22:43:00,20.8624,92.3058,75.29,89,16,2.82
113,Yulara,AU,2022-43-04/08/22 22:43:01,-25.2406,130.9889,57.04,47,0,5.75
114,Tuktoyaktuk,CA,2022-43-04/08/22 22:43:01,69.4541,-133.0374,17.6,73,40,0.0
115,Bhadrapur,NP,2022-43-04/08/22 22:43:02,26.544,88.0944,73.42,70,3,12.3
116,Nome,US,2022-43-04/08/22 22:43:02,64.5011,-165.4064,13.15,85,100,11.5
117,Souillac,MU,2022-43-04/08/22 22:43:02,-20.5167,57.5167,75.58,94,75,6.91
118,Washington,US,2022-40-04/08/22 22:40:44,47.5001,-120.5015,54.77,41,3,16.53
119,Colares,PT,2022-43-04/08/22 22:43:03,38.7992,-9.4469,61.32,76,78,15.99
120,Oussouye,SN,2022-43-04/08/22 22:43:03,12.485,-16.5469,77.18,59,8,10.22
121,Carnarvon,AU,2022-43-04/08/22 22:43:04,-24.8667,113.6333,66.27,88,79,5.75
122,Santa Cruz,BO,2022-39-04/08/22 22:39:28,-17.8,-63.1667,84.25,70,75,12.66
123,Bangalore,IN,2022-40-04/08/22 22:40:17,12.9762,77.6033,73.22,78,62,6.67
124,Rio Grande,BR,2022-42-04/08/22 22:42:53,-32.035,-52.0986,66.31,82,0,10.76
125,Trowbridge,GB,2022-43-04/08/22 22:43:04,51.3189,-2.2086,41.52,84,100,5.91
126,Longyearbyen,SJ,2022-39-04/08/22 22:39:58,78.2186,15.6401,12.04,73,0,14.97
127,Burevestnik,RU,2022-43-04/08/22 22:43:05,56.144,43.7883,46.15,66,0,11.01
128,Pontes E Lacerda,BR,2022-43-04/08/22 22:43:05,-15.2261,-59.3353,79.3,77,35,3.96
129,Avera,US,2022-43-04/08/22 22:43:06,33.194,-82.5271,62.11,54,81,17.58
130,Arraial Do Cabo,BR,2022-41-04/08/22 22:41:24,-22.9661,-42.0278,76.86,83,0,13.8
131,Ponta Do Sol,PT,2022-43-04/08/22 22:43:06,32.6667,-17.1,60.71,71,56,1.48
132,Jamestown,US,2022-43-04/08/22 22:43:06,42.097,-79.2353,43.72,73,100,6.91
133,Leningradskiy,RU,2022-43-04/08/22 22:43:07,69.3833,178.4167,-5.98,77,89,3.76
134,Zhigansk,RU,2022-43-04/08/22 22:43:07,66.7697,123.3711,4.53,94,24,10.18
135,Victoria,HK,2022-40-04/08/22 22:40:40,22.2855,114.1577,70.32,78,0,15.01
136,Verkhoyansk,RU,2022-43-04/08/22 22:43:08,67.5447,133.385,10.24,94,100,2.19
137,Kodiak,US,2022-43-04/08/22 22:43:08,57.79,-152.4072,29.71,51,0,25.32
138,Pendleton,US,2022-41-04/08/22 22:41:52,45.6721,-118.7886,61.03,39,100,25.32
139,Sorland,NO,2022-43-04/08/22 22:43:09,67.667,12.6934,36.95,65,100,27.85
140,Sao Joao Da Barra,BR,2022-44-04/08/22 22:44:09,-21.6403,-41.0511,76.44,82,11,10.2
141,Amalapuram,IN,2022-44-04/08/22 22:44:10,16.5833,82.0167,76.42,94,81,2.68
142,Nikolayevsk-Na-Amure,RU,2022-44-04/08/22 22:44:10,53.1406,140.73,27.73,77,98,2.08
143,Kruisfontein,ZA,2022-44-04/08/22 22:44:10,-34.0033,24.7314,57.88,79,98,7.43
144,Coos Bay,US,2022-39-04/08/22 22:39:14,43.3665,-124.2179,57.31,80,100,12.66
145,Mahebourg,MU,2022-44-04/08/22 22:44:11,-20.4081,57.7,75.49,94,75,6.91
146,Hofn,IS,2022-44-04/08/22 22:44:11,64.2539,-15.2082,30.38,59,100,11.45
147,Narsaq,GL,2022-44-04/08/22 22:44:12,60.9167,-46.05,35.82,83,34,1.25
148,Khandyga,RU,2022-44-04/08/22 22:44:12,62.6667,135.6,13.01,96,95,0.58
149,Seoul,KR,2022-44-04/08/22 22:44:13,37.5683,126.9778,58.6,43,75,14.97
150,Atuona,PF,2022-42-04/08/22 22:42:02,-9.8,-139.0333,79.7,78,60,16.98
151,Port Hardy,CA,2022-44-04/08/22 22:44:13,50.6996,-127.4199,46.58,81,75,6.91
152,Sabha,LY,2022-44-04/08/22 22:44:13,27.0377,14.4283,72.55,24,28,12.86
153,Fairbanks,US,2022-40-04/08/22 22:40:02,64.8378,-147.7164,17.6,58,100,10.36
154,Nemuro,JP,2022-44-04/08/22 22:44:14,43.3236,145.575,37.96,79,99,19.66
155,Mazatlan,MX,2022-44-04/08/22 22:44:06,23.2167,-106.4167,76.91,78,31,5.99
156,Meulaboh,ID,2022-44-04/08/22 22:44:14,4.1363,96.1285,75.88,87,83,4.09
157,Tasiilaq,GL,2022-44-04/08/22 22:44:15,65.6145,-37.6368,19.56,95,100,6.91
158,Alofi,NU,2022-44-04/08/22 22:44:15,-19.0595,-169.9187,85.89,70,49,10.36
159,Scarborough,GB,2022-44-04/08/22 22:44:15,54.2797,-0.4044,37.17,82,7,4.0
160,Koumra,TD,2022-44-04/08/22 22:44:16,8.9126,17.5539,85.14,38,7,4.29
161,Tarbagatay,RU,2022-44-04/08/22 22:44:16,51.4803,107.3602,33.33,85,100,5.77
162,Jablonec,SK,2022-44-04/08/22 22:44:17,48.3333,17.45,53.06,87,100,7.83
163,Palana,RU,2022-44-04/08/22 22:44:17,59.1167,159.9667,23.58,89,100,12.57
164,Korla,CN,2022-44-04/08/22 22:44:17,41.7597,86.1469,67.82,21,99,8.59
165,Hithadhoo,MV,2022-44-04/08/22 22:44:18,-0.6,73.0833,82.99,71,64,8.86
166,Bethel,US,2022-44-04/08/22 22:44:18,41.3712,-73.414,60.76,52,39,6.76
167,Saryozek,KZ,2022-44-04/08/22 22:44:19,44.3583,77.9753,50.05,69,56,5.01
168,Narsipatnam,IN,2022-44-04/08/22 22:44:19,17.6667,82.6167,76.17,74,50,3.4
169,Atar,MR,2022-44-04/08/22 22:44:19,20.5169,-13.0499,76.69,14,0,8.39
170,Bandarbeyla,SO,2022-44-04/08/22 22:44:20,9.4942,50.8122,79.56,83,46,5.53
171,Pemangkat,ID,2022-44-04/08/22 22:44:20,1.1667,108.9667,77.07,85,94,0.96
172,Georgetown,MY,2022-44-04/08/22 22:44:21,5.4112,100.3354,78.73,93,20,3.44
173,Tuatapere,NZ,2022-44-04/08/22 22:44:21,-46.1333,167.6833,56.95,58,29,2.71
174,Nikolskoye,RU,2022-44-04/08/22 22:44:22,59.7035,30.7861,37.29,94,100,5.55
175,Khilok,RU,2022-44-04/08/22 22:44:22,51.3674,110.4676,32.54,95,100,3.56
176,Banda Aceh,ID,2022-44-04/08/22 22:44:22,5.5577,95.3222,79.36,79,82,4.74
177,Katsuura,JP,2022-44-04/08/22 22:44:23,35.1333,140.3,62.91,70,0,15.08
178,Omboue,GA,2022-44-04/08/22 22:44:23,-1.5746,9.2618,79.02,89,96,4.34
179,Cleburne,US,2022-44-04/08/22 22:44:23,32.3476,-97.3867,69.78,16,0,16.11
180,Vila Franca Do Campo,PT,2022-44-04/08/22 22:44:24,37.7167,-25.4333,63.01,89,95,28.68
181,Avarua,CK,2022-44-04/08/22 22:44:24,-21.2078,-159.775,86.05,74,20,12.66
182,Bayanday,RU,2022-44-04/08/22 22:44:25,53.0661,105.5139,32.88,84,100,9.06
183,Mareeba,AU,2022-45-04/08/22 22:45:25,-17.0,145.4333,78.44,84,22,2.51
184,Te Anau,NZ,2022-45-04/08/22 22:45:25,-45.4167,167.7167,54.16,60,13,0.13
185,Taoudenni,ML,2022-45-04/08/22 22:45:26,22.6783,-3.9836,82.09,9,0,13.18
186,Umtata,ZA,2022-45-04/08/22 22:45:26,-31.5889,28.7844,53.56,97,100,1.7
